LAT,LON
34.0943,-118.331
34.0955,-118.2932
33.9727,-118.2914
34.1867,-118.4774
34.1867,-118.4774
34.0518,-118.3063
33.9698,-118.2912
34.0261,-118.3589
34.2787,-118.3903
34.0249,-118.2121
34.214,-118.6311
34.0462,-118.3444
34.0255,-118.1957
34.2554,-118.5907
34.2207,-118.6418
34.169,-118.507
34.1629,-118.5202
33.9806,-118.2717
34.2214,-118.5055
34.1866,-118.5411
34.3172,-118.4341
34.1684,-118.4586
34.2152,-118.4488
34.025,-118.2618
34.1875,-118.5413
34.1866,-118.5098
34.069,-118.2991
34.1807,-118.536
34.0306,-118.204
34.1509,-118.5911
34.2143,-118.5534
34.2572,-118.5951
34.0436,-118.2051
34.2244,-118.5804
34.2239,-118.3666
33.7974,-118.2372
33.9308,-118.2493
34.2314,-118.3973
34.153,-118.4312
33.7782,-118.2676
34.2626,-118.4094
34.268,-118.4288
34.2739,-118.3033
34.2048,-118.3692
34.252,-118.4365
34.2459,-118.4185
34.1721,-118.4574
33.7819,-118.2526
34.223,-118.5378
0,0
33.7815,-118.265
34.0431,-118.2196
34.2319,-118.4633
34.3034,-118.4257
34.017,-118.3644
34.3225,-118.4288
33.956,-118.2772
34.0524,-118.2765
33.7326,-118.305
33.9529,-118.2739
33.9667,-118.2838
34.0863,-118.3064
33.8481,-118.3041
33.9827,-118.3255
34.0447,-118.2864
34.01,-118.29
34.0534,-118.404
34.0961,-118.3442
33.7483,-118.2804
34.0039,-118.264
33.7977,-118.2773
33.7815,-118.265
33.9637,-118.2871
34.0999,-118.3616
34.0803,-118.3474
34.0616,-118.2794
34.115,-118.2419
33.7808,-118.2743
34.1016,-118.3531
34.3089,-118.4596
34.0508,-118.4351
34.2148,-118.5404
34.0835,-118.3103
34.0693,-118.2687
33.9964,-118.3247
34.0715,-118.1633
34.0516,-118.3219
34.1191,-118.4638
34.2178,-118.373
34.0462,-118.2803
0,0
34.2459,-118.4185
33.7739,-118.2678
34.1867,-118.4247
34.0625,-118.2283
34.1289,-118.2684
34.1227,-118.3181
34.0803,-118.3474
34.1831,-118.3768
34.1906,-118.5884
34.2135,-118.6137
34.0478,-118.2484
34.0401,-118.2864
33.9727,-118.285
34.0709,-118.2941
33.9829,-118.3187
0,0
33.9446,-118.2848
34.0731,-118.3113
34.0999,-118.3629
34.1556,-118.3771
34.2735,-118.4409
34.115,-118.2416
34.2428,-118.4252
33.7854,-118.2495
34.1922,-118.5491
34.1486,-118.4425
34.0489,-118.1944
34.0607,-118.3144
34.0852,-118.1739
34.2178,-118.373
34.261,-118.4874
33.9402,-118.2695
34.0803,-118.3474
34.0328,-118.2096
0,0
34.1164,-118.2332
34.0055,-118.4375
34.0791,-118.2941
34.0412,-118.2436
34.0464,-118.3338
33.9943,-118.2608
34.1868,-118.5229
34.108,-118.1989
0,0
34.2904,-118.5227
34.0491,-118.4614
34.2465,-118.4762
33.7819,-118.2526
34.0183,-118.3504
33.7952,-118.2682
34.2135,-118.6137
34,-118.3269
34.2978,-118.4428
34.2179,-118.461
33.9465,-118.2739
34.0323,-118.2776
34.2178,-118.373
34.0918,-118.3119
34.017,-118.3644
33.7977,-118.2773
34.1296,-118.4224
34.2319,-118.5409
34.3275,-118.4298
34.0919,-118.2396
34.0613,-118.2446
34.0993,-118.3136
33.9456,-118.2739
34.1006,-118.3417
34.0999,-118.3629
0,0
33.9969,-118.3023
34.0626,-118.2445
33.7951,-118.2576
34.0487,-118.2018
33.9322,-118.2319
34.1149,-118.1749
34.0248,-118.3552
33.9739,-118.2722
34.1684,-118.6426
33.7998,-118.2612
34.0962,-118.3332
34.2246,-118.5914
34.032,-118.3691
33.9914,-118.4132
0,0
34.3091,-118.4593
34.205,-118.624
34.0663,-118.2871
34.0192,-118.331
34.3226,-118.4905
34.0255,-118.1957
0,0
34.0888,-118.3124
34.0409,-118.363
34.0103,-118.3223
34.1922,-118.366
34.2515,-118.4514
34.0346,-118.3857
33.7817,-118.2574
34.0319,-118.2472
33.9764,-118.381
34.1005,-118.3214
33.7204,-118.2968
33.7851,-118.3021
34.1826,-118.4444
34.2483,-118.4565
33.9914,-118.4132
33.7928,-118.2731
34.0719,-118.2144
34.154,-118.4618
34.0611,-118.3681
33.9399,-118.2848
33.7836,-118.2487
34.1971,-118.6268
34.0099,-118.3089
34.0188,-118.2684
34.0459,-118.271
33.9824,-118.3068
33.9465,-118.2739
34.0937,-118.2781
33.9627,-118.3025
34.1676,-118.6169
34.2573,-118.463
33.945,-118.2413
34.203,-118.4575
33.7261,-118.2902
33.7977,-118.2898
34.3171,-118.4101
34.1831,-118.4523
34.0334,-118.2813
34.2788,-118.3758
34.1202,-118.185
34.1232,-118.216
34.2581,-118.2919
34.0439,-118.3609
34.1437,-118.5319
34.2275,-118.3664
34.0864,-118.2155
34.2172,-118.5143
34.2455,-118.5361
33.9523,-118.3906
34.1073,-118.2376
34.0501,-118.3442
34.2647,-118.4384
33.9638,-118.4261
34.0611,-118.2087
33.9806,-118.309
33.727,-118.2924
33.9775,-118.4655
34.0275,-118.2891
34.0284,-118.2866
34.0223,-118.2865
34.0268,-118.2896
34.023,-118.2869
33.9849,-118.4445
34.0221,-118.2915
34.0941,-118.2835
34.0173,-118.201
34.0335,-118.2619
33.9924,-118.2827
34.1659,-118.4973
34.0546,-118.4636
34.0284,-118.284
34.0376,-118.2166
33.9643,-118.2914
34.2012,-118.379
34.0406,-118.2798
34.0529,-118.2776
34.1992,-118.6016
34.0366,-118.2189
33.8844,-118.2892
34.0281,-118.2788
34.0165,-118.2988
34.1425,-118.3643
33.7906,-118.2739
34.2272,-118.3697
34.0715,-118.1748
34.1385,-118.368
34.031,-118.2079
34.1867,-118.4356
34.012,-118.2521
33.9983,-118.2608
34.107,-118.1923
34.1303,-118.3414
34.2192,-118.5257
34.0775,-118.195
34.1723,-118.5142
33.9274,-118.2761
34.2993,-118.4552
34.0066,-118.2696
33.9374,-118.2826
33.7866,-118.2717
33.9374,-118.2781
34.1957,-118.536
34.2653,-118.3114
34.3109,-118.4396
33.9898,-118.2783
34.1333,-118.1897
34.0121,-118.3002
34.0027,-118.2959
34.1885,-118.3921
34.0317,-118.2769
34.0536,-118.3122
34.2012,-118.4313
34.0581,-118.3112
33.8291,-118.309
34.1923,-118.4943
34.1887,-118.4225
34.0962,-118.3237
34.1596,-118.4957
34.0523,-118.2823
33.9821,-118.3318
34.0307,-118.4546
33.9934,-118.2702
33.9472,-118.2318
33.9861,-118.2696
34.12,-118.1893
34.0311,-118.3351
33.9438,-118.2695
33.9161,-118.2827
34.0944,-118.3125
33.9322,-118.37
34.1975,-118.4684
33.8345,-118.3065
34.2012,-118.4099
33.7397,-118.285
34.2336,-118.4938
34.0697,-118.2779
34.2522,-118.4799
34.2039,-118.4291
33.9737,-118.3243
34.056,-118.2102
33.9599,-118.4198
34.046,-118.5177
34.3076,-118.4627
34.0695,-118.2655
34.3087,-118.4319
34.0467,-118.252
34.0572,-118.2842
34.0327,-118.3155
33.932,-118.2652
33.9938,-118.4568
33.9907,-118.2739
34.0881,-118.2326
34.0261,-118.2623
34.1794,-118.4405
33.9887,-118.3206
34.0732,-118.2868
34.0284,-118.2874
34.0317,-118.284
34.1766,-118.4589
33.9732,-118.2871
34.0802,-118.3522
33.9243,-118.2739
33.9869,-118.2783
34.0642,-118.1862
34.0545,-118.3009
33.9587,-118.2833
34.0243,-118.4085
34.0279,-118.247
34.0636,-118.3047
34.1016,-118.3252
34.2275,-118.4633
34.0887,-118.285
33.9906,-118.2783
34.0985,-118.419
34.2286,-118.5951
34.2174,-118.5492
34.0462,-118.3444
34.245,-118.5444
34.0581,-118.2371
34.0883,-118.1693
33.7823,-118.2476
33.9337,-118.2566
33.7889,-118.2625
34.2521,-118.4651
34.0401,-118.2533
34.0335,-118.3526
34.2112,-118.5842
33.981,-118.2871
33.9345,-118.2623
34.1077,-118.2874
34.0233,-118.339
34.0218,-118.2686
34.0436,-118.2051
34.1509,-118.5911
34.0344,-118.289
34.2573,-118.463
33.8234,-118.3038
33.9806,-118.309
34.2066,-118.439
34.1191,-118.4638
33.9984,-118.2478
34.0245,-118.3374
34.0375,-118.4622
33.9564,-118.309
34.1687,-118.3703
34.0255,-118.1957
0,0
34.0109,-118.3113
34.1971,-118.6268
34.0007,-118.3002
34.0773,-118.1772
34.0526,-118.3111
34.1976,-118.4799
34.1781,-118.4179
34.1684,-118.4586
34.2528,-118.4041
33.9965,-118.4648
34.079,-118.3236
34.0862,-118.1784
34.0618,-118.2917
34.1059,-118.2319
34.0598,-118.2979
34.1699,-118.6558
34.0246,-118.3384
33.9792,-118.4666
34.2322,-118.5113
34.0234,-118.2878
34.022,-118.2867
33.9813,-118.4684
33.9855,-118.4373
33.9571,-118.4401
34.0184,-118.4123
34.0314,-118.3998
34.0197,-118.2905
33.9528,-118.2869
34.026,-118.4149
34.0998,-118.3211
34.0839,-118.1684
34.2121,-118.3791
34.2754,-118.3904
33.947,-118.2594
34.0076,-118.259
34.0702,-118.22
34.2243,-118.3854
34.1839,-118.5185
34.1708,-118.5203
34.2451,-118.4969
34.0291,-118.3152
34.0561,-118.2981
34.0136,-118.248
34.1576,-118.44
34.0665,-118.4534
34.1016,-118.3447
34.0581,-118.3122
33.9728,-118.3003
33.989,-118.3352
34.0623,-118.1761
34.0628,-118.2822
34.0719,-118.2103
34.2148,-118.5404
34.0454,-118.3207
34.0783,-118.2205
34.1936,-118.4166
34.1186,-118.3215
33.9294,-118.2739
34.2265,-118.4565
34.0015,-118.4522
34.0268,-118.2075
34.1831,-118.3846
34.0853,-118.3244
34.0242,-118.2623
34.018,-118.2396
34.0653,-118.3273
34.2181,-118.4664
33.9368,-118.2348
34.0203,-118.3189
33.9798,-118.3024
34.1958,-118.4455
33.9523,-118.3906
34.2934,-118.4589
33.9748,-118.4282
33.9428,-118.2826
34.0174,-118.2621
34.0238,-118.2058
34.1344,-118.2665
33.9482,-118.239
34.2142,-118.4661
34.1051,-118.2107
34.0494,-118.3145
34.0276,-118.3384
34.0867,-118.1768
34.062,-118.2804
34.2148,-118.5404
34.0303,-118.3299
34.0473,-118.2601
33.9863,-118.3282
33.9933,-118.3089
33.9545,-118.309
34.0838,-118.3605
34.2401,-118.5338
33.9568,-118.429
33.7446,-118.3096
33.862,-118.2911
34.1846,-118.4531
34.1577,-118.3765
33.774,-118.2594
34.1692,-118.5272
33.938,-118.2652
34.1849,-118.3834
34.1247,-118.2005
34.009,-118.3181
34.0349,-118.3046
34.0312,-118.3239
33.9432,-118.3079
33.9431,-118.4081
34.0406,-118.2646
33.9367,-118.287
34.194,-118.3792
34.0173,-118.3078
34.1687,-118.3984
34.153,-118.6078
33.9551,-118.2803
34.145,-118.3801
33.7462,-118.3043
33.9902,-118.2564
34.0279,-118.4249
34.0626,-118.4491
33.9348,-118.2715
34.0731,-118.268
34.069,-118.3004
34.0522,-118.2225
34.1828,-118.5974
34.2284,-118.4851
34.2692,-118.3071
33.9722,-118.2696
34.0728,-118.2878
34.2791,-118.4706
34.0981,-118.3092
34.0091,-118.3089
34.0484,-118.4276
34.0006,-118.289
33.9587,-118.2833
34.1921,-118.4052
34.0327,-118.212
34.0685,-118.246
34.0752,-118.2563
34.2722,-118.4417
34.218,-118.5055
33.9585,-118.2827
33.9995,-118.2893
33.9453,-118.3747
34.0359,-118.2597
34.0467,-118.252
34.0173,-118.3078
34.2704,-118.4288
34.084,-118.3547
34.0311,-118.3395
34.1894,-118.5781
34.2354,-118.448
33.9932,-118.316
34.0883,-118.1797
34.12,-118.1893
33.9941,-118.3002
34.0627,-118.3692
34.0112,-118.274
34.1059,-118.2319
34.0364,-118.2802
33.9667,-118.2897
34.0006,-118.2871
34.2374,-118.3964
34.2709,-118.5088
34.2751,-118.5652
33.9933,-118.4765
34.1912,-118.649
34.1614,-118.3747
33.9982,-118.4181
34.2612,-118.5023
34.228,-118.4344
34.2065,-118.6029
33.9708,-118.2783
34.1812,-118.6077
34.3128,-118.4415
34.1046,-118.1804
34.0401,-118.2533
34.0657,-118.268
34.2364,-118.4236
34.0194,-118.3413
33.7922,-118.2607
34.1774,-118.6543
34.1875,-118.5611
34.1504,-118.4383
34.003,-118.2565
34.2626,-118.4094
34.0237,-118.3002
34.2598,-118.5941
34.1699,-118.6558
34.0277,-118.4061
34.0223,-118.2865
33.9954,-118.4689
34.056,-118.2771
33.9821,-118.4671
34.1017,-118.3136
34.0092,-118.2872
34.2236,-118.4611
34.0436,-118.2354
34.2832,-118.4547
33.9523,-118.3906
34.1922,-118.4268
34.2464,-118.5929
34.0649,-118.3493
34.0454,-118.2198
34.0654,-118.3004
34.2561,-118.4322
34.0046,-118.4257
34.0691,-118.2929
33.9574,-118.2827
34.0605,-118.4963
33.9779,-118.2739
34.3081,-118.419
34.0981,-118.3114
34.2108,-118.3889
34.0499,-118.2241
34.3172,-118.4755
33.9792,-118.3046
34.018,-118.2396
34.0483,-118.2806
34.0349,-118.2448
34.193,-118.5308
34.0931,-118.1859
34.0419,-118.2564
34.0526,-118.3031
34.2753,-118.4095
34.2035,-118.5732
33.9924,-118.2809
34.0325,-118.3954
34.2828,-118.3802
34.0622,-118.2607
34.0707,-118.2103
34.0278,-118.201
33.9805,-118.2958
33.9951,-118.2595
34.0505,-118.3295
34.3199,-118.4728
33.931,-118.2522
34.0074,-118.2784
34.0504,-118.2722
34.0539,-118.2103
34.0073,-118.2894
34.2217,-118.6018
34.0966,-118.2744
34.0344,-118.326
33.9728,-118.2739
34.2031,-118.3878
34.3063,-118.4213
34.191,-118.5622
33.9553,-118.3857
33.9613,-118.2871
34.2173,-118.3835
34.2707,-118.5345
33.9951,-118.3138
34.2248,-118.5151
34.0564,-118.2879
34.0541,-118.2621
34.2048,-118.4659
33.842,-118.3007
34.0938,-118.2784
34.1385,-118.3681
34.0597,-118.3042
34.0258,-118.2435
34.0066,-118.2686
34.0469,-118.2569
34.2076,-118.464
34.0348,-118.2577
33.9906,-118.2827
33.9545,-118.3079
34.0316,-118.259
33.9735,-118.3761
34.1992,-118.6003
34.2318,-118.4502
33.9735,-118.3761
34.044,-118.3415
33.9437,-118.2826
34.0548,-118.3837
34.1455,-118.3877
34.1913,-118.5942
33.949,-118.3744
34.3188,-118.4436
33.7315,-118.2836
33.8818,-118.2837
34.2573,-118.5886
34.0414,-118.2382
33.8696,-118.2865
34.0999,-118.3643
34.1035,-118.2525
34.0224,-118.2524
34.0653,-118.3162
34.2337,-118.463
34.0695,-118.2655
33.9711,-118.2629
34.0926,-118.3405
34.1137,-118.24
34.0363,-118.2672
34.0732,-118.2868
34.0557,-118.3908
34.1903,-118.4574
33.7136,-118.2904
34.0068,-118.2491
33.9782,-118.2914
34.0585,-118.2403
33.992,-118.2499
34.0367,-118.3367
34.1613,-118.4052
34.0478,-118.2711
33.9819,-118.2871
34.3102,-118.4402
34.0416,-118.309
34.1101,-118.3215
33.986,-118.286
33.983,-118.3206
0,0
34.0073,-118.3248
34.0667,-118.2843
34.0665,-118.3662
34.2372,-118.3893
33.9347,-118.2761
33.9746,-118.3046
33.9276,-118.2543
34.055,-118.2878
33.9968,-118.441
34.2374,-118.4502
34.1971,-118.6268
34.055,-118.2866
34.2282,-118.4633
33.7352,-118.2879
34.1867,-118.4422
34.0424,-118.2092
34.0773,-118.257
34.0873,-118.296
33.779,-118.2795
34.0636,-118.3047
34.2048,-118.4575
33.7279,-118.2924
33.932,-118.2848
33.9916,-118.2579
34.2661,-118.6153
33.9751,-118.4595
34.2261,-118.5499
34.0508,-118.2847
