DR_NO,Crm Cd,Crm Cd Desc
201917298,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201007501,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201111829,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201014026,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201016164,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200618440,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202113223,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201908239,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201321126,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201910505,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201612631,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201505491,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201008109,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200813492,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202107735,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201007883,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201011894,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201008769,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201207432,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200610529,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202007392,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201012605,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201909173,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202008391,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202105219,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201606863,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200708848,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201413555,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202110419,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201716073,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200804892,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200913761,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201005195,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201105293,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202106065,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201715173,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201008770,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201410821,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201910777,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201817317,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200315040,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201211490,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201010643,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202105999,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201013730,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201415400,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201011943,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201713955,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200411881,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201207774,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201013497,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202006182,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201716568,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200309964,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201715230,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200105139,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201606519,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200314776,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200316615,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201609558,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200211809,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201013109,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201705843,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201010949,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202112704,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201308754,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201608318,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200805991,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200806398,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202114168,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200715415,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200910961,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200321184,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201320833,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200405511,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201906743,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201815297,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201911975,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200407981,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202108903,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202111756,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200715609,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201016128,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201209207,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202108904,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202109697,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201711768,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202109379,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710805,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212115300,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211914046,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210320632,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211116674,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211712567,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212016640,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211104767,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211009834,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212113640,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211009590,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211305802,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210319305,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211217093,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211706407,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211711604,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211711455,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212113873,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211115744,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212012166,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707934,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710085,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210707752,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211714500,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212008760,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210415395,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210511763,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212116387,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212014782,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210205652,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211812217,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211813525,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212108390,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211800769,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212106185,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210407807,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710386,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210909724,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112689,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211913212,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211715317,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210206345,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211910375,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211014925,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707424,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212113998,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211012418,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211013121,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212109689,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212113014,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211014993,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210313226,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210414349,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211510413,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211704144,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211611243,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707836,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212111729,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210416257,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211706760,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211706783,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210405649,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211704297,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212109464,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015906,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211711548,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210806513,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210412525,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211007820,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211005040,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210404435,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211910423,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015161,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210319221,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210406359,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212111906,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211712513,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211007917,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211708459,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210310037,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210212790,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212109894,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211304617,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210817587,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211008774,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211113464,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211912673,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212015578,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210404175,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210408390,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212107565,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211714255,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112513,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210615511,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211013293,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015502,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210617785,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210516915,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210413100,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212013467,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210607466,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707019,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211518424,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212011806,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211007154,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210515382,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211007089,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211308530,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211407364,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211916250,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211708323,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210817423,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212108829,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211013273,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211817720,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210409113,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015019,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211807556,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210319220,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210612208,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211312577,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210812557,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212117675,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211504384,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211711756,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212108785,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211016135,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210216356,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015008,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210713735,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
