DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd
221308438,03/23/2022 12:00:00 AM,10/19/2020 12:00:00 AM,600,13,Newton,1364,2,354
221715152,10/20/2022 12:00:00 AM,08/05/2020 12:00:00 AM,1950,17,Devonshire,1745,2,354
201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510
220404852,01/28/2022 12:00:00 AM,12/27/2020 12:00:00 AM,1200,4,Hollenbeck,439,2,946
221106692,03/14/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1510,11,Northeast,1124,2,354
221908420,04/15/2022 12:00:00 AM,08/01/2020 12:00:00 AM,5,19,Mission,1985,2,813
221818077,09/28/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,18,Southeast,1801,1,820
221606564,03/21/2022 12:00:00 AM,07/17/2020 12:00:00 AM,800,16,Foothill,1698,2,649
221715311,10/16/2022 12:00:00 AM,07/11/2020 12:00:00 AM,200,17,Devonshire,1712,2,624
231304505,01/10/2023 12:00:00 AM,12/10/2020 12:00:00 AM,1340,13,Newton,1353,2,354
221220098,09/07/2022 12:00:00 AM,01/07/2020 12:00:00 AM,35,12,77th Street,1241,2,354
231906446,02/28/2023 12:00:00 AM,02/17/2020 12:00:00 AM,1200,19,Mission,1974,2,627
231305562,02/01/2023 12:00:00 AM,04/01/2020 12:00:00 AM,2300,13,Newton,1303,1,210
230510455,06/28/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1,5,Harbor,565,2,354
231309128,04/13/2023 12:00:00 AM,08/13/2020 12:00:00 AM,1200,13,Newton,1321,2,354
231106607,03/08/2023 12:00:00 AM,03/01/2020 12:00:00 AM,1200,11,Northeast,1152,2,860
220509276,05/18/2022 12:00:00 AM,10/26/2020 12:00:00 AM,1,5,Harbor,507,2,653
221404672,01/11/2022 12:00:00 AM,05/01/2020 12:00:00 AM,1200,14,Pacific,1405,2,354
231506571,03/03/2023 12:00:00 AM,07/15/2020 12:00:00 AM,1700,15,N Hollywood,1532,2,946
231210462,04/19/2023 12:00:00 AM,06/01/2020 12:00:00 AM,800,12,77th Street,1259,1,821
240604147,01/05/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1405,6,Hollywood,646,2,354
220507155,03/24/2022 12:00:00 AM,12/01/2020 12:00:00 AM,1,5,Harbor,563,1,230
230212736,06/20/2023 12:00:00 AM,06/19/2020 12:00:00 AM,800,2,Rampart,279,1,420
221315909,11/25/2020 12:00:00 AM,11/17/2020 12:00:00 AM,1005,13,Newton,1322,2,354
230413909,10/30/2023 12:00:00 AM,10/30/2020 12:00:00 AM,830,4,Hollenbeck,497,2,354
221304833,01/19/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1520,13,Newton,1325,2,354
231411022,05/22/2020 12:00:00 AM,05/22/2020 12:00:00 AM,1140,14,Pacific,1494,2,626
230409692,06/24/2023 12:00:00 AM,06/24/2020 12:00:00 AM,1620,4,Hollenbeck,429,2,354
211711508,08/13/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,17,Devonshire,1799,1,440
221810933,05/17/2022 12:00:00 AM,05/06/2020 12:00:00 AM,1,18,Southeast,1832,2,845
220606971,03/05/2022 12:00:00 AM,07/02/2020 12:00:00 AM,940,6,Hollywood,636,1,230
231512931,07/28/2023 12:00:00 AM,10/09/2020 12:00:00 AM,1125,15,N Hollywood,1548,2,354
231906802,03/09/2023 12:00:00 AM,06/26/2020 12:00:00 AM,1100,19,Mission,1988,1,310
222005367,01/30/2022 12:00:00 AM,11/01/2020 12:00:00 AM,1250,20,Olympic,2079,2,354
231817789,10/11/2023 12:00:00 AM,01/11/2020 12:00:00 AM,1355,18,Southeast,1841,2,354
230707560,03/24/2023 12:00:00 AM,03/20/2020 12:00:00 AM,2030,7,Wilshire,759,2,662
231613896,11/09/2023 12:00:00 AM,04/01/2020 12:00:00 AM,1159,16,Foothill,1677,2,354
230818547,12/26/2023 12:00:00 AM,10/21/2020 12:00:00 AM,1435,8,West LA,842,2,354
220608736,04/12/2022 12:00:00 AM,10/22/2020 12:00:00 AM,1200,6,Hollywood,666,2,649
221004913,01/25/2022 12:00:00 AM,09/01/2020 12:00:00 AM,1700,10,West Valley,1067,2,354
231204446,01/06/2023 12:00:00 AM,01/06/2020 12:00:00 AM,1625,12,77th Street,1241,2,354
231205201,01/16/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1900,12,77th Street,1252,2,354
211313647,08/02/2021 12:00:00 AM,10/22/2020 12:00:00 AM,800,13,Newton,1391,2,928
220509193,05/17/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1200,5,Harbor,528,1,510
230708191,04/07/2023 12:00:00 AM,08/30/2020 12:00:00 AM,1635,7,Wilshire,736,2,354
221700766,05/11/2022 12:00:00 AM,10/01/2020 12:00:00 AM,800,17,Devonshire,1721,1,341
231220613,10/02/2023 12:00:00 AM,07/17/2020 12:00:00 AM,1,12,77th Street,1207,2,354
230309403,04/15/2023 12:00:00 AM,09/06/2020 12:00:00 AM,1,3,Southwest,363,2,354
220506019,02/01/2022 12:00:00 AM,02/01/2020 12:00:00 AM,1200,5,Harbor,507,2,627
231107419,03/30/2023 12:00:00 AM,08/08/2020 12:00:00 AM,2346,11,Northeast,1122,2,624
221204063,12/09/2021 12:00:00 AM,01/20/2020 12:00:00 AM,1725,12,77th Street,1255,2,354
221225797,12/22/2022 12:00:00 AM,12/22/2020 12:00:00 AM,220,12,77th Street,1249,1,510
231809755,04/28/2023 12:00:00 AM,03/01/2020 12:00:00 AM,800,18,Southeast,1824,2,354
220411016,07/18/2022 12:00:00 AM,06/22/2020 12:00:00 AM,1300,4,Hollenbeck,439,1,310
230710560,06/08/2023 12:00:00 AM,06/01/2020 12:00:00 AM,200,7,Wilshire,752,1,121
221505387,02/04/2022 12:00:00 AM,03/01/2020 12:00:00 AM,1200,15,N Hollywood,1569,1,230
232005220,01/28/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1620,20,Olympic,2074,2,354
231309161,04/07/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,13,Newton,1383,2,354
232110125,06/08/2023 12:00:00 AM,04/27/2020 12:00:00 AM,1400,21,Topanga,2175,2,624
230306591,02/19/2023 12:00:00 AM,12/05/2020 12:00:00 AM,1040,3,Southwest,307,2,354
221913440,08/20/2022 12:00:00 AM,04/17/2020 12:00:00 AM,955,19,Mission,1913,2,354
210217152,11/02/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1030,2,Rampart,215,2,812
211804895,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,1230,18,Southeast,1823,1,210
220604806,01/19/2022 12:00:00 AM,03/21/2020 12:00:00 AM,1200,6,Hollywood,636,2,354
221404880,01/20/2022 12:00:00 AM,12/01/2020 12:00:00 AM,1430,14,Pacific,1464,1,480
221822433,12/19/2022 12:00:00 AM,11/25/2020 12:00:00 AM,2200,18,Southeast,1822,1,121
220218655,10/17/2022 12:00:00 AM,05/08/2020 12:00:00 AM,1000,2,Rampart,257,2,354
231706742,03/06/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,17,Devonshire,1721,2,813
231809250,04/20/2023 12:00:00 AM,04/20/2020 12:00:00 AM,915,18,Southeast,1846,2,354
211105454,02/12/2021 12:00:00 AM,11/29/2020 12:00:00 AM,1200,11,Northeast,1144,2,354
220605785,02/08/2022 12:00:00 AM,10/16/2020 12:00:00 AM,1820,6,Hollywood,666,2,956
221604268,01/07/2022 12:00:00 AM,02/19/2020 12:00:00 AM,1300,16,Foothill,1667,2,354
232006335,01/23/2023 12:00:00 AM,10/09/2020 12:00:00 AM,1551,20,Olympic,2049,2,354
221912723,08/02/2022 12:00:00 AM,11/01/2020 12:00:00 AM,1100,19,Mission,1972,2,649
221218237,08/23/2022 12:00:00 AM,08/23/2020 12:00:00 AM,1600,12,77th Street,1203,2,812
222008928,04/21/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1200,20,Olympic,2023,2,354
221304490,01/11/2022 12:00:00 AM,10/01/2020 12:00:00 AM,2000,13,Newton,1385,2,354
221314362,07/11/2022 12:00:00 AM,04/07/2020 12:00:00 AM,1,13,Newton,1307,2,354
230305615,02/01/2023 12:00:00 AM,01/25/2020 12:00:00 AM,1,3,Southwest,355,1,121
220817021,11/18/2022 12:00:00 AM,11/17/2020 12:00:00 AM,2330,8,West LA,839,2,930
230220152,10/25/2023 12:00:00 AM,01/25/2020 12:00:00 AM,1845,2,Rampart,295,2,354
220206045,02/17/2022 12:00:00 AM,11/19/2020 12:00:00 AM,900,2,Rampart,299,2,354
230710295,05/31/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,7,Wilshire,753,2,956
222104573,01/18/2022 12:00:00 AM,08/07/2020 12:00:00 AM,1155,21,Topanga,2169,2,354
221605629,02/21/2022 12:00:00 AM,10/31/2020 12:00:00 AM,2000,16,Foothill,1601,1,121
221907310,03/21/2022 12:00:00 AM,03/19/2020 12:00:00 AM,1510,19,Mission,1984,1,815
221605942,03/02/2022 12:00:00 AM,08/27/2020 12:00:00 AM,800,16,Foothill,1613,2,810
220221083,12/02/2022 12:00:00 AM,11/28/2020 12:00:00 AM,1600,2,Rampart,269,1,121
210805061,12/24/2020 12:00:00 AM,12/23/2020 12:00:00 AM,1200,8,West LA,823,1,331
221418972,11/15/2022 12:00:00 AM,11/15/2020 12:00:00 AM,1200,14,Pacific,1414,2,626
220116036,06/17/2022 12:00:00 AM,03/23/2020 12:00:00 AM,1200,1,Central,135,2,354
221916942,11/15/2022 12:00:00 AM,04/01/2020 12:00:00 AM,5,19,Mission,1904,1,820
210304538,12/21/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,3,Southwest,363,1,820
220605303,01/30/2022 12:00:00 AM,01/10/2020 12:00:00 AM,800,6,Hollywood,669,2,354
220407289,04/06/2022 12:00:00 AM,09/01/2020 12:00:00 AM,1130,4,Hollenbeck,464,2,860
220504793,01/22/2022 12:00:00 AM,04/01/2020 12:00:00 AM,935,5,Harbor,532,2,956
211206256,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,1800,12,77th Street,1248,2,740
231404594,12/31/2022 12:00:00 AM,03/04/2020 12:00:00 AM,2,14,Pacific,1454,2,354
221916382,11/02/2022 12:00:00 AM,11/11/2020 12:00:00 AM,1200,19,Mission,1962,2,354
230110332,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,1000,1,Central,132,1,815
230320974,12/08/2023 12:00:00 AM,04/22/2020 12:00:00 AM,655,3,Southwest,362,2,354
232104037,01/02/2023 12:00:00 AM,02/01/2020 12:00:00 AM,1700,21,Topanga,2148,2,940
220319193,10/27/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1500,3,Southwest,393,2,946
231110558,06/27/2023 12:00:00 AM,08/07/2020 12:00:00 AM,1400,11,Northeast,1149,2,946
221509576,05/13/2022 12:00:00 AM,05/20/2020 12:00:00 AM,1500,15,N Hollywood,1543,2,625
221907738,04/01/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1200,19,Mission,1987,2,354
230604435,01/11/2023 12:00:00 AM,12/13/2020 12:00:00 AM,2000,6,Hollywood,667,1,310
220908425,04/26/2022 12:00:00 AM,11/20/2020 12:00:00 AM,1600,9,Van Nuys,952,1,310
230911235,06/29/2023 12:00:00 AM,11/01/2020 12:00:00 AM,600,9,Van Nuys,964,2,354
230818509,11/20/2023 12:00:00 AM,01/01/2020 12:00:00 AM,700,8,West LA,823,1,341
232109597,05/27/2023 12:00:00 AM,07/14/2020 12:00:00 AM,1655,21,Topanga,2118,2,354
221011819,07/20/2022 12:00:00 AM,07/19/2020 12:00:00 AM,1800,10,West Valley,1004,1,331
231711215,06/12/2023 12:00:00 AM,11/12/2020 12:00:00 AM,1110,17,Devonshire,1701,2,354
230507982,04/20/2023 12:00:00 AM,04/01/2020 12:00:00 AM,1,5,Harbor,563,2,624
230714761,09/18/2023 12:00:00 AM,06/16/2020 12:00:00 AM,1445,7,Wilshire,758,2,354
221211022,04/26/2022 12:00:00 AM,04/26/2020 12:00:00 AM,2115,12,77th Street,1204,2,354
230506149,02/28/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,5,Harbor,521,1,510
221313048,06/17/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,13,Newton,1303,1,341
241904532,12/19/2023 12:00:00 AM,05/01/2020 12:00:00 AM,5,19,Mission,1993,1,815
230309845,04/24/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1200,3,Southwest,319,2,956
231810615,05/17/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,18,Southeast,1849,1,820
220110779,04/21/2022 12:00:00 AM,11/28/2020 12:00:00 AM,1700,1,Central,111,2,662
220106694,02/16/2022 12:00:00 AM,03/13/2020 12:00:00 AM,1900,1,Central,111,2,668
230126260,12/11/2023 12:00:00 AM,12/10/2020 12:00:00 AM,800,1,Central,182,1,330
231223480,11/21/2023 12:00:00 AM,02/02/2020 12:00:00 AM,1,12,77th Street,1233,2,845
221507610,03/28/2022 12:00:00 AM,03/22/2020 12:00:00 AM,500,15,N Hollywood,1548,1,236
231218307,08/18/2023 12:00:00 AM,07/06/2020 12:00:00 AM,1605,12,77th Street,1218,2,354
220611171,05/31/2022 12:00:00 AM,03/10/2020 12:00:00 AM,1000,6,Hollywood,632,2,354
220705297,02/04/2022 12:00:00 AM,11/01/2020 12:00:00 AM,1255,7,Wilshire,736,2,354
231805308,01/26/2023 12:00:00 AM,07/15/2020 12:00:00 AM,1238,18,Southeast,1842,2,354
231311304,05/25/2023 12:00:00 AM,06/15/2020 12:00:00 AM,1535,13,Newton,1377,2,354
220804051,12/11/2021 12:00:00 AM,01/18/2020 12:00:00 AM,910,8,West LA,882,2,956
221005035,01/29/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1500,10,West Valley,1035,2,812
220917253,12/13/2022 12:00:00 AM,12/21/2020 12:00:00 AM,1800,9,Van Nuys,916,2,626
220214942,08/11/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1030,2,Rampart,279,1,331
220620646,12/27/2022 12:00:00 AM,11/19/2020 12:00:00 AM,1040,6,Hollywood,649,2,354
231613511,10/30/2023 12:00:00 AM,05/05/2020 12:00:00 AM,525,16,Foothill,1641,2,354
230609606,05/09/2023 12:00:00 AM,08/23/2020 12:00:00 AM,1005,6,Hollywood,656,2,354
221606629,03/22/2022 12:00:00 AM,05/01/2020 12:00:00 AM,1125,16,Foothill,1664,2,354
220413587,09/26/2022 12:00:00 AM,09/01/2020 12:00:00 AM,300,4,Hollenbeck,459,1,121
220705715,02/15/2022 12:00:00 AM,08/15/2020 12:00:00 AM,815,7,Wilshire,762,2,354
221707355,02/15/2022 12:00:00 AM,07/23/2020 12:00:00 AM,2000,17,Devonshire,1703,2,745
211611263,08/31/2021 12:00:00 AM,02/10/2020 12:00:00 AM,2300,16,Foothill,1645,2,813
232004972,01/25/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,20,Olympic,2038,2,812
221704892,01/21/2022 12:00:00 AM,07/01/2020 12:00:00 AM,800,17,Devonshire,1701,2,956
222012456,07/19/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1230,20,Olympic,2079,2,354
220614618,08/13/2022 12:00:00 AM,12/15/2020 12:00:00 AM,2200,6,Hollywood,666,1,330
220515613,11/03/2022 12:00:00 AM,09/01/2020 12:00:00 AM,1200,5,Harbor,567,2,626
221411398,05/24/2022 12:00:00 AM,03/30/2020 12:00:00 AM,1640,14,Pacific,1428,2,354
230304640,01/14/2023 12:00:00 AM,03/14/2020 12:00:00 AM,730,3,Southwest,362,2,354
222108906,05/03/2022 12:00:00 AM,12/31/2020 12:00:00 AM,1220,21,Topanga,2133,1,352
221608687,05/24/2022 12:00:00 AM,03/30/2020 12:00:00 AM,1200,16,Foothill,1605,1,815
230218441,10/02/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1000,2,Rampart,235,2,812
221210385,04/21/2020 12:00:00 AM,04/21/2020 12:00:00 AM,845,12,77th Street,1243,1,330
231712864,07/16/2023 12:00:00 AM,01/16/2020 12:00:00 AM,1605,17,Devonshire,1787,2,354
212015778,10/16/2021 12:00:00 AM,05/15/2020 12:00:00 AM,1310,20,Olympic,2022,2,354
231214436,06/23/2023 12:00:00 AM,11/20/2020 12:00:00 AM,1200,12,77th Street,1211,2,354
231308748,04/04/2023 12:00:00 AM,08/14/2020 12:00:00 AM,1210,13,Newton,1365,2,354
220517340,12/23/2022 12:00:00 AM,07/29/2020 12:00:00 AM,2200,5,Harbor,564,2,354
201605651,02/09/2020 12:00:00 AM,01/30/2020 12:00:00 AM,44,16,Foothill,1601,1,648
230704658,01/16/2023 12:00:00 AM,05/11/2020 12:00:00 AM,750,7,Wilshire,774,2,354
220321001,11/29/2022 12:00:00 AM,02/18/2020 12:00:00 AM,2120,3,Southwest,326,2,354
231717780,11/17/2023 12:00:00 AM,02/21/2020 12:00:00 AM,1100,17,Devonshire,1701,1,341
230809796,05/17/2023 12:00:00 AM,09/26/2020 12:00:00 AM,800,8,West LA,882,2,354
221108981,05/10/2022 12:00:00 AM,12/02/2020 12:00:00 AM,1200,11,Northeast,1123,2,354
231204979,01/18/2023 12:00:00 AM,05/01/2020 12:00:00 AM,1200,12,77th Street,1205,2,626
201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,12,77th Street,1259,1,510
220310780,05/16/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1130,3,Southwest,395,2,354
230506618,03/13/2023 12:00:00 AM,08/05/2020 12:00:00 AM,1,5,Harbor,522,2,845
210907013,03/16/2021 12:00:00 AM,11/15/2020 12:00:00 AM,1200,9,Van Nuys,931,2,940
210205090,12/20/2020 12:00:00 AM,12/04/2020 12:00:00 AM,1455,2,Rampart,205,2,354
221507368,03/23/2022 12:00:00 AM,02/01/2020 12:00:00 AM,1,15,N Hollywood,1504,2,860
240904504,01/13/2024 12:00:00 AM,01/13/2020 12:00:00 AM,1150,9,Van Nuys,955,2,354
221409128,04/12/2022 12:00:00 AM,04/20/2020 12:00:00 AM,950,14,Pacific,1444,2,886
221205529,01/28/2022 12:00:00 AM,01/01/2020 12:00:00 AM,5,12,77th Street,1259,1,121
221516877,11/02/2022 12:00:00 AM,09/07/2020 12:00:00 AM,2100,15,N Hollywood,1591,1,820
230714857,09/20/2023 12:00:00 AM,07/20/2020 12:00:00 AM,1435,7,Wilshire,758,2,354
211409233,04/06/2021 12:00:00 AM,08/19/2020 12:00:00 AM,1730,14,Pacific,1496,1,510
231412171,06/09/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,14,Pacific,1435,2,930
220517192,12/19/2022 12:00:00 AM,07/01/2020 12:00:00 AM,2200,5,Harbor,503,1,330
221207508,02/28/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1100,12,77th Street,1235,2,354
222106975,03/14/2022 12:00:00 AM,08/07/2020 12:00:00 AM,1600,21,Topanga,2104,2,354
221209243,03/16/2022 12:00:00 AM,06/26/2020 12:00:00 AM,1130,12,77th Street,1243,2,354
220206809,03/03/2022 12:00:00 AM,02/02/2020 12:00:00 AM,1200,2,Rampart,231,2,354
200406391,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1430,4,Hollenbeck,407,1,310
221212344,05/17/2022 12:00:00 AM,11/01/2020 12:00:00 AM,1,12,77th Street,1241,2,666
221905893,02/15/2022 12:00:00 AM,02/15/2020 12:00:00 AM,1,19,Mission,1962,2,956
221417043,09/28/2022 12:00:00 AM,12/01/2020 12:00:00 AM,1,14,Pacific,1428,2,662
221510639,06/05/2022 12:00:00 AM,01/24/2020 12:00:00 AM,1415,15,N Hollywood,1549,2,354
231007023,03/21/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1201,10,West Valley,1078,2,668
221216517,07/14/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1200,12,77th Street,1249,2,921
231015060,09/14/2023 12:00:00 AM,01/14/2020 12:00:00 AM,640,10,West Valley,1018,2,354
211304794,01/19/2021 12:00:00 AM,01/17/2020 12:00:00 AM,2100,13,Newton,1361,2,930
201312835,06/25/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2100,13,Newton,1342,1,510
220609836,05/03/2022 12:00:00 AM,06/30/2020 12:00:00 AM,1800,6,Hollywood,646,2,956
230110262,04/09/2023 12:00:00 AM,07/17/2020 12:00:00 AM,2300,1,Central,182,1,121
232004462,01/12/2023 12:00:00 AM,01/11/2020 12:00:00 AM,900,20,Olympic,2029,1,310
232113429,08/28/2023 12:00:00 AM,03/01/2020 12:00:00 AM,1200,21,Topanga,2155,2,354
230716588,11/01/2023 12:00:00 AM,10/31/2020 12:00:00 AM,1630,7,Wilshire,776,2,626
221004727,01/21/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,10,West Valley,1044,2,930
232110277,06/12/2023 12:00:00 AM,09/11/2020 12:00:00 AM,1200,21,Topanga,2177,2,354
221110416,06/14/2022 12:00:00 AM,10/24/2020 12:00:00 AM,955,11,Northeast,1123,2,354
231017522,12/23/2023 12:00:00 AM,10/20/2020 12:00:00 AM,1200,10,West Valley,1015,1,420
231911608,07/14/2023 12:00:00 AM,01/01/2020 12:00:00 AM,600,19,Mission,1984,1,820
230613179,07/25/2023 12:00:00 AM,02/20/2020 12:00:00 AM,1720,6,Hollywood,631,2,354
221210279,04/16/2022 12:00:00 AM,11/05/2020 12:00:00 AM,2230,12,77th Street,1233,1,440
230308058,03/20/2023 12:00:00 AM,03/20/2020 12:00:00 AM,2200,3,Southwest,361,1,330
220813413,08/17/2022 12:00:00 AM,03/17/2020 12:00:00 AM,1555,8,West LA,851,2,354
231109634,06/01/2023 12:00:00 AM,09/11/2020 12:00:00 AM,2359,11,Northeast,1124,2,845
220310688,05/15/2022 12:00:00 AM,08/02/2020 12:00:00 AM,130,3,Southwest,328,2,354
231310841,05/17/2023 12:00:00 AM,02/22/2020 12:00:00 AM,955,13,Newton,1361,2,354
221307277,02/11/2022 12:00:00 AM,02/12/2020 12:00:00 AM,1205,13,Newton,1371,2,354
232017416,10/30/2023 12:00:00 AM,08/25/2020 12:00:00 AM,1240,20,Olympic,2022,2,354
221706832,03/21/2022 12:00:00 AM,03/21/2020 12:00:00 AM,115,17,Devonshire,1781,1,236
202112289,08/03/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1400,21,Topanga,2113,1,510
221008947,05/08/2022 12:00:00 AM,05/08/2020 12:00:00 AM,1206,10,West Valley,1017,2,354
221505374,02/04/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1220,15,N Hollywood,1515,2,354
220305685,02/08/2022 12:00:00 AM,02/02/2020 12:00:00 AM,2000,3,Southwest,392,1,510
210305239,12/30/2020 12:00:00 AM,12/29/2020 12:00:00 AM,2000,3,Southwest,335,1,331
221614254,11/13/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,16,Foothill,1643,2,354
221210224,04/14/2022 12:00:00 AM,05/06/2020 12:00:00 AM,1435,12,77th Street,1243,2,354
231509915,05/18/2023 12:00:00 AM,01/01/2020 12:00:00 AM,220,15,N Hollywood,1515,2,354
231311162,05/23/2023 12:00:00 AM,06/29/2020 12:00:00 AM,1800,13,Newton,1352,1,341
221916140,10/25/2022 12:00:00 AM,10/25/2020 12:00:00 AM,1200,19,Mission,1962,2,813
231813707,07/20/2023 12:00:00 AM,08/28/2020 12:00:00 AM,1,18,Southeast,1846,2,354
231808628,03/27/2023 12:00:00 AM,08/27/2020 12:00:00 AM,2115,18,Southeast,1804,2,354
220814938,09/25/2022 12:00:00 AM,08/22/2020 12:00:00 AM,1800,8,West LA,806,1,442
221212785,05/30/2022 12:00:00 AM,01/20/2020 12:00:00 AM,800,12,77th Street,1258,2,740
221606131,03/07/2022 12:00:00 AM,02/09/2020 12:00:00 AM,900,16,Foothill,1693,2,354
210805827,02/16/2021 12:00:00 AM,02/16/2020 12:00:00 AM,430,8,West LA,852,1,310
231220373,09/26/2023 12:00:00 AM,12/01/2020 12:00:00 AM,1200,12,77th Street,1258,1,121
221010828,06/24/2022 12:00:00 AM,04/01/2020 12:00:00 AM,1200,10,West Valley,1025,2,932
230114808,06/25/2023 12:00:00 AM,06/24/2020 12:00:00 AM,2230,1,Central,111,1,352
222113244,08/19/2022 12:00:00 AM,01/20/2020 12:00:00 AM,1,21,Topanga,2157,1,420
220704424,01/11/2022 12:00:00 AM,03/01/2020 12:00:00 AM,1425,7,Wilshire,733,1,341
222017661,09/23/2022 12:00:00 AM,09/20/2020 12:00:00 AM,2030,20,Olympic,2049,2,624
221516921,11/02/2022 12:00:00 AM,02/01/2020 12:00:00 AM,1200,15,N Hollywood,1567,2,354
221607647,04/25/2022 12:00:00 AM,08/29/2020 12:00:00 AM,2300,16,Foothill,1613,2,810
231609210,06/15/2023 12:00:00 AM,05/09/2020 12:00:00 AM,905,16,Foothill,1695,2,354
220611494,06/08/2022 12:00:00 AM,03/12/2020 12:00:00 AM,1140,6,Hollywood,667,2,624
221506757,11/23/2021 12:00:00 AM,09/01/2020 12:00:00 AM,1,15,N Hollywood,1589,2,354
231109830,06/06/2023 12:00:00 AM,10/30/2020 12:00:00 AM,2359,11,Northeast,1124,2,845
220818200,12/15/2022 12:00:00 AM,01/01/2020 12:00:00 AM,800,8,West LA,859,2,354
220320024,11/09/2022 12:00:00 AM,11/09/2020 12:00:00 AM,1,3,Southwest,398,2,354
230319519,11/08/2023 12:00:00 AM,07/24/2020 12:00:00 AM,800,3,Southwest,361,2,354
221011732,07/18/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1200,10,West Valley,1033,2,354
221224187,11/18/2022 12:00:00 AM,07/18/2020 12:00:00 AM,1255,12,77th Street,1235,2,354
220705842,02/18/2022 12:00:00 AM,12/20/2020 12:00:00 AM,1200,7,Wilshire,758,1,440
221507765,03/31/2022 12:00:00 AM,01/01/2020 12:00:00 AM,950,15,N Hollywood,1555,2,354
210804049,01/02/2021 12:00:00 AM,12/04/2020 12:00:00 AM,2200,8,West LA,884,1,480
231210693,04/19/2023 12:00:00 AM,03/05/2020 12:00:00 AM,1505,12,77th Street,1283,2,354
230312511,06/21/2023 12:00:00 AM,04/03/2020 12:00:00 AM,1145,3,Southwest,373,2,354
230209650,04/26/2023 12:00:00 AM,01/08/2020 12:00:00 AM,1400,2,Rampart,265,1,510
220806369,02/28/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1200,8,West LA,805,1,341
221911806,07/10/2022 12:00:00 AM,03/25/2020 12:00:00 AM,1,19,Mission,1977,2,354
230612691,07/18/2023 12:00:00 AM,09/18/2020 12:00:00 AM,342,6,Hollywood,626,2,354
231208015,03/05/2023 12:00:00 AM,02/01/2020 12:00:00 AM,1636,12,77th Street,1242,2,354
221004502,01/15/2022 12:00:00 AM,11/01/2020 12:00:00 AM,1200,10,West Valley,1037,2,354
220208280,04/04/2022 12:00:00 AM,11/17/2020 12:00:00 AM,10,2,Rampart,237,2,900
211705203,02/02/2021 12:00:00 AM,12/04/2020 12:00:00 AM,1200,17,Devonshire,1761,2,649
201310253,05/02/2020 12:00:00 AM,04/27/2020 12:00:00 AM,1700,13,Newton,1331,1,331
220911563,07/14/2022 12:00:00 AM,09/03/2020 12:00:00 AM,1,9,Van Nuys,935,2,354
230907876,04/07/2023 12:00:00 AM,03/15/2020 12:00:00 AM,800,9,Van Nuys,935,1,440
230119627,09/11/2023 12:00:00 AM,05/09/2020 12:00:00 AM,1250,1,Central,119,1,420
220619815,12/01/2022 12:00:00 AM,12/08/2020 12:00:00 AM,1,6,Hollywood,632,2,354
