DR_NO,Date Rptd,DATE OCC,TIME OCC
202009296,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,235
200811226,06/28/2020 12:00:00 AM,06/28/2020 12:00:00 AM,740
201222299,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1815
201817585,09/21/2020 12:00:00 AM,09/21/2020 12:00:00 AM,640
201807612,03/03/2020 12:00:00 AM,03/03/2020 12:00:00 AM,1800
202014497,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,2245
201312995,06/27/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1430
201500546,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1815
201108939,05/02/2020 12:00:00 AM,05/01/2020 12:00:00 AM,1950
200809037,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1330
201106177,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1540
201713121,09/11/2020 12:00:00 AM,09/11/2020 12:00:00 AM,510
200909637,05/13/2020 12:00:00 AM,05/11/2020 12:00:00 AM,2140
201400503,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2245
200613815,08/11/2020 12:00:00 AM,08/11/2020 12:00:00 AM,555
200209092,04/17/2020 12:00:00 AM,04/17/2020 12:00:00 AM,1730
202112778,08/17/2020 12:00:00 AM,08/17/2020 12:00:00 AM,5
200315755,08/15/2020 12:00:00 AM,08/15/2020 12:00:00 AM,1
202011439,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,2120
201309221,04/10/2020 12:00:00 AM,04/09/2020 12:00:00 AM,2025
201225876,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,210
200611646,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1220
200714394,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1020
201816377,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,930
201114314,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,1700
201223859,11/03/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1000
201818640,10/10/2020 12:00:00 AM,10/10/2020 12:00:00 AM,2330
200206687,02/23/2020 12:00:00 AM,02/23/2020 12:00:00 AM,400
201217943,08/05/2020 12:00:00 AM,08/05/2020 12:00:00 AM,1740
201609799,06/08/2020 12:00:00 AM,06/08/2020 12:00:00 AM,2115
201112570,08/17/2020 12:00:00 AM,08/17/2020 12:00:00 AM,200
200715957,11/14/2020 12:00:00 AM,11/13/2020 12:00:00 AM,2130
201510471,05/25/2020 12:00:00 AM,05/25/2020 12:00:00 AM,800
200911963,07/05/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2230
201226751,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2200
200211713,06/23/2020 12:00:00 AM,06/23/2020 12:00:00 AM,1730
202015484,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,455
200304349,01/06/2020 12:00:00 AM,01/04/2020 12:00:00 AM,30
201115463,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,300
200218754,12/19/2020 12:00:00 AM,12/18/2020 12:00:00 AM,2330
200300937,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1240
201213936,06/01/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1130
200314014,07/11/2020 12:00:00 AM,07/11/2020 12:00:00 AM,1610
202012944,08/03/2020 12:00:00 AM,08/03/2020 12:00:00 AM,1330
201605765,02/11/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1200
201219612,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1942
201221286,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,2000
201908006,03/23/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1130
202000501,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40
202015519,10/05/2020 12:00:00 AM,10/05/2020 12:00:00 AM,1250
201210884,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,1420
200117035,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1310
202108549,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,2300
200314630,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,300
200110412,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,1115
202113099,08/25/2020 12:00:00 AM,08/25/2020 12:00:00 AM,1430
200905136,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1015
200400541,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,450
200320972,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1030
201512005,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,805
201111284,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1315
201205238,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1730
200505287,01/31/2020 12:00:00 AM,01/31/2020 12:00:00 AM,400
200714271,09/26/2020 12:00:00 AM,09/26/2020 12:00:00 AM,25
202012737,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1630
200507337,03/18/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1925
200117469,09/04/2020 12:00:00 AM,09/04/2020 12:00:00 AM,2230
201201005,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,2040
201808400,03/18/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1815
201813091,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,220
202016460,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1615
201715353,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,1638
200206055,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,1210
201900814,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,600
201217419,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,730
200216221,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,2030
201216496,07/14/2020 12:00:00 AM,07/14/2020 12:00:00 AM,1830
201317894,10/03/2020 12:00:00 AM,10/03/2020 12:00:00 AM,1000
200615668,09/20/2020 12:00:00 AM,09/20/2020 12:00:00 AM,2235
200611522,06/18/2020 12:00:00 AM,06/18/2020 12:00:00 AM,500
200414457,10/30/2020 12:00:00 AM,10/30/2020 12:00:00 AM,1615
200518321,12/29/2020 12:00:00 AM,12/29/2020 12:00:00 AM,540
201421032,12/01/2020 12:00:00 AM,11/28/2020 12:00:00 AM,1930
200806587,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,745
200716897,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1215
210713273,09/19/2021 12:00:00 AM,10/31/2020 12:00:00 AM,2000
200400817,05/24/2020 12:00:00 AM,05/24/2020 12:00:00 AM,115
201218289,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,2145
200115185,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,1900
200416069,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,245
200713827,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1120
201709701,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,230
200506115,02/20/2020 12:00:00 AM,02/19/2020 12:00:00 AM,2300
201805250,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,720
201215046,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1815
200905585,02/06/2020 12:00:00 AM,02/05/2020 12:00:00 AM,2115
200105645,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1625
200517963,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,2040
201813326,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1555
201804414,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,420
201815203,08/07/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1330
