DR_NO,Date Rptd,DATE OCC,TIME OCC
201818784,10/13/2020 12:00:00 AM,10/11/2020 12:00:00 AM,2100
200306290,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,852
201614652,11/10/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1400
202105487,02/02/2020 12:00:00 AM,02/02/2020 12:00:00 AM,1145
201714494,10/21/2020 12:00:00 AM,10/21/2020 12:00:00 AM,1730
200211615,06/21/2020 12:00:00 AM,06/21/2020 12:00:00 AM,530
201221205,09/22/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1940
201011497,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,810
201917798,12/08/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1700
201208082,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1300
200413124,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1830
201010767,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1000
202113609,09/08/2020 12:00:00 AM,08/14/2020 12:00:00 AM,1530
200410184,06/25/2020 12:00:00 AM,06/24/2020 12:00:00 AM,39
200613047,07/25/2020 12:00:00 AM,07/24/2020 12:00:00 AM,2300
201211073,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,640
201906998,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1024
200913797,08/21/2020 12:00:00 AM,08/21/2020 12:00:00 AM,900
201016407,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,130
201715394,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,803
200810829,06/18/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1130
201708984,05/11/2020 12:00:00 AM,05/10/2020 12:00:00 AM,1620
200406234,02/26/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1750
201413548,07/10/2020 12:00:00 AM,07/10/2020 12:00:00 AM,1530
200404475,01/13/2020 12:00:00 AM,01/11/2020 12:00:00 AM,730
201917298,11/23/2020 12:00:00 AM,11/23/2020 12:00:00 AM,1920
201007501,03/24/2020 12:00:00 AM,03/24/2020 12:00:00 AM,1710
201111829,07/25/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1410
201014026,10/14/2020 12:00:00 AM,10/14/2020 12:00:00 AM,1000
201016164,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1900
200618440,11/23/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2010
202113223,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,800
201908239,03/31/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1640
201321126,12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,2100
201910505,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,1600
201612631,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1250
201505491,01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,830
201008109,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1955
200813492,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,1400
202107735,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,1000
201007883,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,2100
201011894,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,705
201008769,05/06/2020 12:00:00 AM,05/06/2020 12:00:00 AM,2315
201207432,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,2225
200610529,05/23/2020 12:00:00 AM,05/22/2020 12:00:00 AM,2200
202007392,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,1830
201012605,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1039
201909173,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1940
202008391,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,2100
202105219,01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,100
201606863,03/09/2020 12:00:00 AM,03/08/2020 12:00:00 AM,935
200708848,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1925
201413555,07/10/2020 12:00:00 AM,07/10/2020 12:00:00 AM,720
202110419,06/13/2020 12:00:00 AM,06/13/2020 12:00:00 AM,426
201716073,11/22/2020 12:00:00 AM,11/22/2020 12:00:00 AM,1755
200804892,01/20/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1124
200913761,08/20/2020 12:00:00 AM,08/19/2020 12:00:00 AM,1925
201005195,01/29/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1200
201105293,01/30/2020 12:00:00 AM,01/28/2020 12:00:00 AM,1030
202106065,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,800
201715173,11/09/2020 12:00:00 AM,11/08/2020 12:00:00 AM,2235
201008770,05/06/2020 12:00:00 AM,05/06/2020 12:00:00 AM,2315
201410821,05/12/2020 12:00:00 AM,05/12/2020 12:00:00 AM,430
201910777,06/09/2020 12:00:00 AM,05/18/2020 12:00:00 AM,2017
201817317,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,1600
