DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
230604864	01/23/2023 12:00:00 AM	01/01/2020 12:00:00 AM	1	6	Hollywood	659	1	121	62	F	B	34.095	-118.307
221718329	12/26/2022 12:00:00 AM	06/01/2020 12:00:00 AM	1200	17	Devonshire	1793	1	815	8	F	W	34.2272	-118.5471
221715853	11/09/2022 12:00:00 AM	08/15/2020 12:00:00 AM	2359	17	Devonshire	1795	2	860	11	F	H	34.2248	-118.5151
221418374	10/30/2022 12:00:00 AM	10/30/2020 12:00:00 AM	2025	14	Pacific	1458	2	624	22	M	H	33.9943	-118.408
222111399	07/07/2022 12:00:00 AM	08/21/2020 12:00:00 AM	1	21	Topanga	2148	2	901	26	F	H	34.1947	-118.5737
230307948	02/28/2023 12:00:00 AM	03/28/2020 12:00:00 AM	745	3	Southwest	396	2	354	23	M	B	34.0092	-118.29
220709413	03/10/2022 12:00:00 AM	01/20/2020 12:00:00 AM	2359	7	Wilshire	743	1	121	22	F	H	34.0627	-118.3593
231109198	05/20/2023 12:00:00 AM	01/01/2020 12:00:00 AM	1235	11	Northeast	1176	2	354	27	M	H	34.0875	-118.2319
200905707	02/08/2020 12:00:00 AM	02/07/2020 12:00:00 AM	2000	9	Van Nuys	939	1	510	0			34.1803	-118.4204
220910848	06/27/2022 12:00:00 AM	10/30/2020 12:00:00 AM	1105	9	Van Nuys	909	2	354	59	F	H	34.2071	-118.4298
230516031	11/21/2023 12:00:00 AM	11/21/2020 12:00:00 AM	320	5	Harbor	505	2	626	38	F	B	33.8498	-118.2929
220221510	12/08/2022 12:00:00 AM	04/08/2020 12:00:00 AM	1400	2	Rampart	261	2	354	30	F	B	34.059	-118.2824
232104887	01/24/2023 12:00:00 AM	05/20/2020 12:00:00 AM	1830	21	Topanga	2173	2	354	22	M	O	34.1658	-118.6273
221216200	07/11/2022 12:00:00 AM	09/01/2020 12:00:00 AM	1235	12	77th Street	1255	2	354	65	F	B	33.9735	-118.3046
231509430	05/08/2023 12:00:00 AM	09/20/2020 12:00:00 AM	1005	15	N Hollywood	1595	2	354	52	F	W	34.1403	-118.3848
220107460	02/24/2022 12:00:00 AM	01/15/2020 12:00:00 AM	1	1	Central	192	2	354	26	F	B	34.0388	-118.2677
221809781	04/26/2022 12:00:00 AM	02/01/2020 12:00:00 AM	1	18	Southeast	1827	2	354	41	F	H	33.9487	-118.2392
231407360	03/22/2023 12:00:00 AM	11/16/2020 12:00:00 AM	2300	14	Pacific	1452	2	624	32	M	W	33.9781	-118.4644
210906739	03/09/2021 12:00:00 AM	11/16/2020 12:00:00 AM	1200	9	Van Nuys	941	2	668	0			34.1766	-118.4589
230604663	01/17/2023 12:00:00 AM	11/01/2020 12:00:00 AM	1	6	Hollywood	659	2	860	22	M	W	34.0966	-118.3049
231421914	12/17/2020 12:00:00 AM	12/17/2020 12:00:00 AM	1315	14	Pacific	1424	2	354	25	F	W	34.0215	-118.441
230415586	12/21/2023 12:00:00 AM	10/01/2020 12:00:00 AM	900	4	Hollenbeck	489	2	812	11	F	H	34.0248	-118.2139
231511384	06/23/2023 12:00:00 AM	09/01/2020 12:00:00 AM	1200	15	N Hollywood	1531	2	354	29	F	W	34.1721	-118.4053
220705301	02/03/2022 12:00:00 AM	07/14/2020 12:00:00 AM	1705	7	Wilshire	755	2	354	34	M	H	34.0531	-118.3524
231204292	01/02/2023 12:00:00 AM	01/08/2020 12:00:00 AM	900	12	77th Street	1231	2	354	21	M	B	33.9853	-118.3464
220314618	08/03/2022 12:00:00 AM	03/10/2020 12:00:00 AM	1	3	Southwest	393	2	354	71	F	B	34.0094	-118.3231
221704906	01/24/2022 12:00:00 AM	10/17/2020 12:00:00 AM	625	17	Devonshire	1762	2	354	47	M	W	34.25	-118.5798
220615948	09/13/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1200	6	Hollywood	645	2	900	31	F	H	34.0992	-118.3414
220505776	02/14/2022 12:00:00 AM	11/04/2020 12:00:00 AM	1150	5	Harbor	511	2	354	29	F	B	33.7915	-118.3077
230116672	07/17/2023 12:00:00 AM	08/22/2020 12:00:00 AM	1800	1	Central	132	1	121	32	F	O	34.0535	-118.2491
