"Crm Cd",LAT,LON
510,33.9774,-118.2827
354,33.9509,-118.2546
310,34.0659,-118.1802
121,34.0555,-118.3762
230,34.1522,-118.3593
354,34.0446,-118.3003
354,33.9833,-118.2765
624,34.1732,-118.6152
354,34.0332,-118.3375
354,34.3131,-118.4632
812,34.0767,-118.2791
210,33.9502,-118.2673
354,34.1039,-118.3297
480,33.9779,-118.4142
121,33.9428,-118.2781
354,34.0587,-118.2678
813,34.2589,-118.6137
354,33.934,-118.2498
354,34.1047,-118.2687
956,34.0925,-118.3288
354,34.2397,-118.3661
354,34.0559,-118.2868
649,34.2319,-118.4633
812,34.0028,-118.3068
354,34.0672,-118.3028
354,33.9861,-118.2696
354,34.0349,-118.2436
121,34.0228,-118.3156
930,34.0587,-118.4158
354,34.0456,-118.2789
354,34.0387,-118.2786
956,34.0578,-118.3628
354,34.1818,-118.5676
121,34.2865,-118.4161
815,34.2266,-118.4553
810,34.2758,-118.4052
121,34.0509,-118.2642
331,34.039,-118.5262
626,33.9962,-118.4694
354,34.0495,-118.2459
820,34.321,-118.4381
820,34.0102,-118.3404
354,34.0908,-118.3012
860,34.0445,-118.2116
956,33.7845,-118.2714
740,33.9801,-118.2914
354,33.9869,-118.4301
354,34.239,-118.4618
815,34.0535,-118.2491
354,34.016,-118.346
940,34.1938,-118.571
946,34.0094,-118.3231
946,34.1094,-118.1963
625,34.1721,-118.3965
354,34.2249,-118.4344
310,34.0944,-118.319
310,34.1649,-118.4661
354,34.1635,-118.4411
341,34.0448,-118.5277
354,34.2191,-118.5771
331,34.212,-118.534
354,34.2799,-118.5818
624,33.7379,-118.3012
354,34.0537,-118.3327
354,34.0037,-118.2938
510,33.7694,-118.2955
341,34.0342,-118.2496
815,34.2181,-118.4664
956,34.0363,-118.2762
820,33.9305,-118.2363
662,34.0592,-118.2414
668,34.0595,-118.2451
330,34.0415,-118.262
845,33.9891,-118.3167
236,34.1649,-118.3665
354,33.9953,-118.2872
354,34.0994,-118.3727
354,34.0683,-118.3451
354,33.9347,-118.2761
354,33.993,-118.2446
956,34.0425,-118.445
812,34.1902,-118.5335
626,34.1939,-118.4313
331,34.0484,-118.2724
354,34.1,-118.3033
354,34.2558,-118.4275
354,34.0889,-118.3266
354,34.2429,-118.3887
121,34.0464,-118.1933
354,34.0499,-118.368
745,34.296,-118.5502
813,34.2659,-118.4058
812,34.0587,-118.2891
956,34.293,-118.5599
354,34.0473,-118.2865
330,34.0926,-118.3245
626,33.7261,-118.2858
354,34.0242,-118.4183
354,34.0175,-118.346
352,34.2035,-118.6294
815,34.2838,-118.3933
812,34.0663,-118.2719
330,33.9818,-118.3168
354,34.2468,-118.5233
354,34.0625,-118.3104
354,33.995,-118.3204
354,34.0002,-118.2521
354,33.7431,-118.2821
648,34.2862,-118.4133
354,34.0424,-118.3467
354,34.0309,-118.3015
341,34.288,-118.5797
354,34.0408,-118.4479
354,34.1212,-118.2672
626,33.9978,-118.2915
510,33.9747,-118.2587
354,34.0055,-118.3113
845,33.7795,-118.2715
940,34.1848,-118.4675
354,34.0823,-118.2755
860,34.2057,-118.3878
354,34.1684,-118.4423
886,33.9876,-118.4489
121,33.9694,-118.2608
820,34.1325,-118.3974
354,34.0537,-118.3327
510,33.9456,-118.3932
930,34.0118,-118.4365
330,33.7911,-118.2849
354,33.9859,-118.3002
354,34.2299,-118.6033
354,33.9762,-118.309
354,34.0721,-118.2785
310,34.0881,-118.1877
666,33.9806,-118.3352
956,34.245,-118.4579
662,34.0306,-118.4209
354,34.17,-118.3594
668,34.1613,-118.4917
921,33.9824,-118.2827
354,34.2022,-118.4837
930,33.9983,-118.2802
510,34.0145,-118.2658
956,34.0998,-118.3295
121,34.0401,-118.2633
310,34.0667,-118.2857
354,34.1829,-118.6077
626,34.0443,-118.3354
930,34.1749,-118.5308
354,34.1732,-118.6019
354,34.1212,-118.2672
420,34.2084,-118.5347
820,34.2231,-118.4553
354,34.0911,-118.3932
440,33.9888,-118.3089
330,34.0198,-118.3522
354,34.0405,-118.4633
845,34.118,-118.2489
354,34.028,-118.284
354,34.001,-118.274
354,33.9942,-118.274
354,34.069,-118.3104
236,34.2282,-118.5885
510,34.2083,-118.619
354,34.2021,-118.5109
354,34.193,-118.3889
510,34.0037,-118.3294
331,34.0261,-118.3248
354,34.2554,-118.4169
354,33.9824,-118.309
354,34.1939,-118.39
341,34.0057,-118.2669
813,34.2369,-118.4675
354,33.9323,-118.2502
354,33.9573,-118.2629
442,34.1061,-118.4637
740,33.9698,-118.2739
354,34.2105,-118.402
310,34.0435,-118.4565
121,33.9689,-118.2739
932,34.1939,-118.5317
352,34.0582,-118.2387
420,34.1938,-118.5884
341,34.0637,-118.3562
624,34.0569,-118.2842
354,34.1504,-118.3631
810,34.2758,-118.4052
354,34.2103,-118.3671
624,34.0944,-118.318
354,34.1362,-118.342
845,34.118,-118.2489
354,34.0496,-118.3791
354,34.0054,-118.2827
354,34.0161,-118.3547
354,34.1847,-118.5441
354,33.9883,-118.3024
440,34.0504,-118.3296
354,34.163,-118.3774
480,34.0364,-118.4346
354,33.9519,-118.3025
354,34.0146,-118.3301
510,34.0544,-118.2767
341,34.0871,-118.4722
354,34.2352,-118.4339
354,34.1058,-118.3289
354,33.9811,-118.3226
354,34.1885,-118.5089
900,34.061,-118.2615
649,34.25,-118.603
331,34.023,-118.2765
354,34.1847,-118.4443
440,34.1837,-118.4443
420,34.055,-118.2321
354,34.104,-118.3755
354,34.0103,-118.3341
354,33.9665,-118.263
354,34.0495,-118.4609
930,34.0464,-118.2721
668,33.9472,-118.3909
956,33.9873,-118.3167
820,34.2121,-118.3856
668,34.063,-118.3614
354,34.0447,-118.2075
354,34.0605,-118.2814
121,34.2215,-118.4507
354,34.0453,-118.2499
354,33.9409,-118.3102
341,34.2271,-118.4503
354,33.9374,-118.2739
946,34.1004,-118.3414
352,34.0181,-118.2846
956,34.2624,-118.5908
649,34.0736,-118.217
354,34.2198,-118.4201
946,34.1667,-118.402
956,33.8234,-118.3038
662,34.0885,-118.3092
815,33.9797,-118.2766
354,34.2449,-118.5361
354,34.2231,-118.5098
440,33.9793,-118.4139
745,33.9491,-118.2893
420,34.1975,-118.4662
510,34.201,-118.399
354,34.2822,-118.4912
354,34.0871,-118.3511
810,34.0057,-118.2581
627,34.1939,-118.4313
354,34.0888,-118.2881
354,33.9992,-118.274
354,34.069,-118.3029
510,34.0423,-118.2453
310,34.0354,-118.4459
761,33.9688,-118.2894
745,34.091,-118.2277
812,34.1085,-118.2011
420,34.079,-118.2758
354,34.1731,-118.5239
649,34.056,-118.2929
354,34.0743,-118.4776
121,33.9645,-118.3825
354,34.0889,-118.3244
354,33.7279,-118.2924
354,33.9939,-118.3126
668,34.0431,-118.3692
354,34.0424,-118.4305
354,33.9465,-118.2766
510,33.993,-118.2446
354,33.9406,-118.2336
354,34.0446,-118.2507
956,33.9611,-118.2917
121,33.9492,-118.2827
341,34.0455,-118.2432
354,34.1938,-118.5415
662,33.9785,-118.2919
354,33.9951,-118.3089
354,34.1887,-118.4313
354,33.7324,-118.2858
354,34.1686,-118.4443
354,34.0171,-118.3531
354,34.055,-118.3733
903,34.1576,-118.3921
510,34.1812,-118.4356
745,34.2345,-118.4643
310,34.1718,-118.5338
812,34.3082,-118.4441
626,34.2649,-118.5791
236,34.0727,-118.2942
354,34.1958,-118.4203
510,34.1681,-118.379
310,34.0944,-118.319
354,34.2035,-118.5579
310,34.0418,-118.2852
956,33.7915,-118.3043
354,33.9315,-118.2349
354,34.0557,-118.3406
354,33.7225,-118.3013
236,34.1622,-118.3943
354,34.1797,-118.4014
354,34.2336,-118.4517
354,33.9599,-118.4237
354,34.1899,-118.4189
354,33.9872,-118.3277
812,34.2132,-118.5754
354,34.145,-118.3768
330,33.8696,-118.2863
354,33.9814,-118.3068
956,34.1938,-118.5906
668,34.0571,-118.3967
627,33.9636,-118.2871
624,33.9949,-118.4089
354,33.9472,-118.2739
354,0,0
354,34.1312,-118.1997
121,34.0535,-118.2491
354,33.9738,-118.2739
510,34.0577,-118.2134
341,34.2312,-118.3903
354,34.0435,-118.2471
354,33.979,-118.3112
354,34.0554,-118.2789
354,33.9781,-118.3338
354,34.2377,-118.5156
354,34.3129,-118.4438
354,33.9292,-118.2604
900,34.0499,-118.2879
354,34.0531,-118.2738
626,34.1613,-118.4008
886,33.988,-118.4703
354,33.9518,-118.2554
901,34.1917,-118.4389
813,33.9446,-118.2391
956,33.7978,-118.2999
354,34.1904,-118.6059
354,33.975,-118.3713
845,34.0448,-118.2474
930,34.0682,-118.2663
354,34.2537,-118.421
354,34.1667,-118.3702
354,34.2572,-118.5929
420,33.9708,-118.2827
956,34.0755,-118.5479
236,34.2589,-118.5006
354,34.1956,-118.6015
815,34.2808,-118.396
354,34.0438,-118.2416
510,34.1812,-118.3817
310,33.9598,-118.3962
626,34.145,-118.3725
354,33.9752,-118.3772
354,34.1797,-118.4014
121,34.1794,-118.5557
420,34.061,-118.2615
626,34.0737,-118.3029
440,34.0453,-118.2443
740,34.1568,-118.4864
310,33.9994,-118.3108
341,34.2243,-118.507
354,34.1558,-118.3943
354,34.0721,-118.2723
354,34.1774,-118.5308
354,33.7424,-118.2836
354,34.113,-118.3473
813,34.0605,-118.2695
121,34.1822,-118.4836
510,34.0575,-118.3599
310,34.1649,-118.3921
354,33.9423,-118.287
354,34.051,-118.248
662,34.2485,-118.4965
845,33.9334,-118.2886
354,34.2224,-118.606
354,33.9736,-118.2858
510,34.0598,-118.2954
354,34.0648,-118.2708
810,34.306,-118.4413
354,34.2471,-118.401
812,34.0509,-118.2968
439,33.7206,-118.2916
956,34.2086,-118.6121
354,34.2677,-118.4269
442,34.0617,-118.3066
354,34.0265,-118.4184
354,34.0672,-118.3028
354,34.1683,-118.6007
121,34.095,-118.307
815,34.2272,-118.5471
860,34.2248,-118.5151
624,33.9943,-118.408
901,34.1947,-118.5737
354,34.0092,-118.29
121,34.0627,-118.3593
354,34.0875,-118.2319
510,34.1803,-118.4204
354,34.2071,-118.4298
626,33.8498,-118.2929
354,34.059,-118.2824
354,34.1658,-118.6273
354,33.9735,-118.3046
354,34.1403,-118.3848
354,34.0388,-118.2677
354,33.9487,-118.2392
624,33.9781,-118.4644
668,34.1766,-118.4589
860,34.0966,-118.3049
354,34.0215,-118.441
812,34.0248,-118.2139
354,34.1721,-118.4053
354,34.0531,-118.3524
354,33.9853,-118.3464
354,34.0094,-118.3231
354,34.25,-118.5798
900,34.0992,-118.3414
354,33.7915,-118.3077
121,34.0535,-118.2491
354,33.9501,-118.2739
354,34.0453,-118.2197
930,33.999,-118.3133
354,34.0648,-118.2559
354,33.9727,-118.3299
354,33.945,-118.2413
354,34.0523,-118.2699
354,34.1948,-118.5253
510,33.828,-118.3038
354,34.0243,-118.1931
354,34.2029,-118.5928
510,34.0768,-118.2228
121,34.0225,-118.2702
354,34.019,-118.2606
354,34.2273,-118.3686
354,34.2193,-118.6322
330,33.9678,-118.3742
653,33.7926,-118.2586
440,34.0362,-118.2199
341,33.9709,-118.3035
354,34.0183,-118.3536
354,34.2539,-118.2843
668,33.737,-118.2923
812,33.9383,-118.263
354,33.9463,-118.235
354,34.2632,-118.431
121,34.3008,-118.4749
810,34.1521,-118.5594
354,34.2048,-118.3703
354,34.1036,-118.2267
440,33.9947,-118.4517
354,33.9789,-118.2795
420,33.7862,-118.2908
886,34.0744,-118.3711
354,33.9924,-118.2772
354,34.0238,-118.3669
740,34.2337,-118.4553
236,33.9983,-118.2762
341,34.143,-118.3768
236,34.0615,-118.2412
510,33.9374,-118.2784
845,34.118,-118.2489
354,33.989,-118.3308
354,34.2647,-118.4019
354,34.2066,-118.4341
341,34.0276,-118.2005
626,34.0476,-118.2477
354,34.229,-118.6084
354,34.0539,-118.2799
812,34.2692,-118.3166
354,34.1649,-118.3921
354,34.0167,-118.4382
354,34.0678,-118.3645
956,34.167,-118.5203
354,34.1015,-118.3434
812,33.9429,-118.2739
662,34.2306,-118.5885
354,33.9784,-118.263
815,33.9429,-118.2739
354,34.1866,-118.5011
954,34.031,-118.411
