DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
210416320,4,Hollenbeck,407,4600 TOPAZ ST,,34.083,-118.1902,,,,,,,,,,,,,,,,
211200838,12,77th Street,1232,5800 6TH AV,,33.9872,-118.3235,,,,,,,,,,,,,,,,
211504553,15,N Hollywood,1532,5800 LAUREL CANYON BL,,34.1797,-118.4014,,,,,,,,,,,,,,,,
210610950,6,Hollywood,668,5600 W SUNSET BL,,34.0981,-118.3111,,,,,,,,,,,,,,,,
211115596,11,Northeast,1109,COLORADO BL,GENEVIEVE AV,34.1375,-118.1904,,,,,,,,,,,,,,,,
210712001,7,Wilshire,752,1000 S FAIRFAX AV,,34.0558,-118.3706,,,,,,,,,,,,,,,,
210612400,6,Hollywood,646,6700 SELMA AV,,34.0997,-118.3366,,,,,,,,,,,,,,,,
211210770,12,77th Street,1269,600 E 79TH ST,,33.9674,-118.2652,,,,,,,,,,,,,,,,
212110349,21,Topanga,2107,8300 VARIEL AV,,34.2199,-118.5929,,,,,,,,,,,,,,,,
211008358,10,West Valley,1039,HASKELL AV,LEMAY ST,34.1921,-118.4749,,,,,,,,,,,,,,,,
211822120,18,Southeast,1844,AVALON BL,109TH ST,33.9373,-118.2652,,,,,,,,,,,,,,,,
210214474,2,Rampart,246,500 S WESTLAKE AV,,34.0599,-118.2731,,,,,,,,,,,,,,,,
210608378,6,Hollywood,669,5400 SANTA MONICA BL,,34.0929,-118.3048,,,,,,,,,,,,,,,,
211011985,10,West Valley,1003,STRATHERN ST,RESEDA BL,34.2157,-118.5361,,,,,,,,,,,,,,,,
211609893,16,Foothill,1614,FOOTHILL BL,VAN NUYS BL,34.2809,-118.4019,,,,,,,,,,,,,,,,
210204090,2,Rampart,257,1500 W 7TH ST,,34.0552,-118.2675,,,,,,,,,,,,,,,,
211916872,19,Mission,1958,14200 VAN NUYS BL,,34.2506,-118.4433,,,,,,,,,,,,,,,,
210215334,2,Rampart,246,500 S WESTLAKE AV,,34.0599,-118.2732,,,,,,,,,,,,,,,,
212014047,20,Olympic,2019,200 N COMMONWEALTH AV,,34.0751,-118.2856,,,,,,,,,,,,,,,,
210114119,1,Central,157,SAN PEDRO,6TH ST,34.0423,-118.2453,,,,,,,,,,,,,,,,
211205206,12,77th Street,1283,98TH ST,LA SALLE AV,33.9468,-118.3057,,,,,,,,,,,,,,,,
210312295,3,Southwest,331,JEFFERSON BL,HARCOURT AV,34.0255,-118.3508,,,,,,,,,,,,,,,,
211608362,16,Foothill,1657,10100 MCCLEMONT AV,,34.2529,-118.2956,,,,,,,,,,,,,,,,
210400929,4,Hollenbeck,407,4600 TOPAZ ST,,34.083,-118.1902,,,,,,,,,,,,,,,,
210516853,5,Harbor,516,1300 RAVENNA AV,,33.7888,-118.2687,,,,,,,,,,,,,,,,
211214120,12,77th Street,1215,NORMANDIE AV,S SLAUSON AV,33.9891,-118.3002,,,,,,,,,,,,,,,,
210605746,6,Hollywood,648,1500 N ST ANDREWS PL,,34.1,-118.3113,,,,,,,,,,,,,,,,
